tweets,label
@calpizzakitchen plz bring CPK back to Minnesota 😭😭😭,0
"I'm at California Pizza Kitchen - @calpizzakitchen in Austin, TX https://t.co/GAJgUGmlZS",0
"@Acquanettie @msjolene @mikegcoleman I'll see your 7am meeting and raise you 5am Monday Morning Inventory  at a restaurant with a giant menu.

Another reason I quit and swim afternoons instead. I'm still sleeping to make up for all the sleep I missed while averaging 80 hour work weeks.

CC: @calpizzakitchen",0
"Happy to announce the 7th post-#GameAudioGDC @SchoolGameAudio meetup Fri Mar 20 @calpizzakitchen (map: https://t.co/LW02YZzuTW) at 53 Third St. at 5pm🥂+🍸!
Many thanks to @emilyemeo for helping to organize &amp; everyone #gameaudio invited!😊 https://t.co/RPif7Kt3sf",1
Yo @calpizzakitchen that cauliflower artisanal cheese pizza 🍕is 🔥🔥🔥🔥🔥!!! I see why it's out of stock. 😋#yummy https://t.co/msRi5Cdk4R,0
@calpizzakitchen why can’t I contact customer service from your app?,0
Mark your 📆 Thursday March 5th @calpizzakitchen Ventura location..20% of sales will benefit the @VCAthletics programs. Use the flier that day to help out your Pirates! @ventura_college @vcscolleges #VenturasTeam RSVP at https://t.co/wtJzRkNGQC https://t.co/di6IrOHDTD,0
"We know everyone wants to bone @Antoni, but guess what? Unless you're a @calpizzakitchen's Cauliflower Crust Pizza, he's not going to fuck you.

SO GET OVER IT! https://t.co/mfWHfX8CaI",-1
Are you hungry for @calpizzakitchen Come out today to support our Baker to Vegas Team.  Just show your server this flyer and CPK will donate 20% of your check to our team. This is only valid at the CPK in the Manhattan Village Mall. Thank you! #manhattanbchpd #hermosabeachpolice https://t.co/JjIKqnYsW6,0
You had me at butter pecan... https://t.co/NPitaLznDs,0
@calpizzakitchen Lisa the manager took care of the issue promptly thx for valuing our business,0
@calpizzakitchen When you do a take out order do you really think three pieces of bread are enough for two people CPK#Topanga #cheap https://t.co/x4q7YGOVGD,1
"@calpizzakitchen When are y’all putting vegan options on the menu? It’s 2020, step your game up. Many other restaurants have great vegan options. Hell, even Del Taco has more vegan options than you guys.",1
Tons of restaurants and Eric always wants @calpizzakitchen,1
@calpizzakitchen Yowza mama mia uuuuguuuuuu,0
"Whoever needs to hear this right now, our new Butter Pecan Caramel Cake is here for you 🙏💛 https://t.co/4MsZ4KlTiT",1
"Awaken your taste buds at @calpizzakitchen with the delicious new Winter Flavors menu. Enjoy the Pear &amp; Gorgonzola Pizza, Butter Pecan Caramel Cake and the refreshing Ruby Crush cocktail. Now – April 6. https://t.co/WYTG6WJFrl https://t.co/RD0Nd0lJu2",1
Drinking a Crawford Bock by @karbachbrewing at @calpizzakitchen — https://t.co/jcJWSdz6QD,0
update: they started scrolling thru my twitter and immediately said “@calpizzakitchen smacks so hard.” is this heaven ???? https://t.co/fed4AKV1OW,-1
"@soniainiowa @calpizzakitchen As a pizza lover, all I have to say is PFFT.",0
"Just had cauliflower crust pizza, not bad.. think I’ll make a visit to @calpizzakitchen soon!!",1
"When I decided to go #vegetarian, I thought my days of loving pizza were restricted to cheese pizza. But then I discovered @calpizzakitchen's Margherita Recipe #pizza pizza. Oh my goodness. So deliciousness! I love this pizza!",1
"I'm at California Pizza Kitchen - @calpizzakitchen in Paramus, NJ https://t.co/HmkRipK6ZO",0
"Working towards this level of #presentation or #MiseEnPlace but until then @calpizzakitchen got me. It’s been a minute since I dropped by but the food still bangin #lunchtime 
.
.
.
#kungpaochicken #kungpaoshrimp… https://t.co/N7VaB2t4ce",0
"Yesterday was CPK &amp; today was Olive Garden. The debate which is better.
I love both spots! This endless pasta hits the spot! The service is amazing at both places. Feels like home cooking.
@calpizzakitchen 
@olivegarden 
#foodielove 
#food
#tuesdaymood 
#food
#pasta https://t.co/DhW0iwlqrT",1
@calpizzakitchen @eddiefnpearl @DarinCorbin @420guyinpanties Touché,0
"@eddiefnpearl @rockinrickyg @DarinCorbin @420guyinpanties As long as we are eating pizza during the match, everyone's a winner to us 🔥🤼‍♂️",-1
@calpizzakitchen @rockinrickyg @DarinCorbin @420guyinpanties Ok @calpizzakitchen we will go BUT only if you answer this question....Bret or Owen?,1
@calpizzakitchen @rockinrickyg @DarinCorbin @eddiefnpearl Wow I even looked might check out locations in Oregon 😮 when near one impressed,1
@DarinCorbin @calpizzakitchen @420guyinpanties @eddiefnpearl I’m sold.,0
@dxisydaze Hello there - Thanks for bringing this to our attention. Can you please share this with us at https://t.co/IDiYR3y6zD so that we can look into it for you?,0
@MindyWillers Hello Mindy - Thanks for reaching out and bringing this to our attention. Can you please share this with us at https://t.co/IDiYR3y6zD so that we can look into it for you? We look forward to hearing from you.,0
"@calpizzakitchen @rockinrickyg @420guyinpanties @eddiefnpearl Dang, @calpizzakitchen is on it! @rockinrickyg and @eddiefnpearl you gotta stop by now!!",0
@rockinrickyg @DarinCorbin @420guyinpanties @eddiefnpearl Great question! Feel free to use our online customizable menu to set your daily carb allowance and view menu items that fit your lifestyle or DM us for our fave off-menu Keto Recommendations. 🔥 Check out the online menu here: https://t.co/NKbz39xcFR,1
@calpizzakitchen @DarinCorbin @420guyinpanties @eddiefnpearl Do you have any keto options?!?,0
@calpizzakitchen @DarinCorbin @rockinrickyg @420guyinpanties Sorry Ricky’s on no carbs,-1
