tweets,label
@bee_lemony Listen ive had a lot of papajohns and theres something different. Theynchanged their recipe,0
Sit yourselves down for a WHOLESOME meal with the family tonight! Use code 22FAMILY to get a LARGE Specialty pizza + a LARGE 2 topping pizza for only $22. #family #papajohns #pizza #food https://t.co/G0rw4js4q7,-1
"¿Se armó la reunión con tus amigos el fin de semana? 😃 ¡Con el Pack 2020 alcanza para compartir con todos! 😎🍕 Haz tu pedido al 2273-3333 ☎️ o en https://t.co/FUy1Tr3LuK 💻

*Exclusivo para llevar, domicilio y online
*Válido del 21 al 23 de febrero de 2020 https://t.co/6u0WOIQsCb",0
"Guys, it's so COLD outside but I SBWL @PapaJohns rn",-1
Sit down for a WHOLESOME meal with the family tonight! Use code 22FAMILY to get a LARGE Specialty pizza + a LARGE 2 topping pizza for only $22. #family #papajohns #pizza #food https://t.co/o2UvFx63v6,-1
Shower  @netflix   powderblue @PapaJohns,0
@jakeganster @PapaJohns #NotMyPapa,0
I ate @PapaJohns pizza for dinner last night and I’ve thrown up four times since. Connect the dots. #NotMyPapa,0
@awsten @PapaJohns Absolutely not,-1
Don’t worry about meal prep when Papa John’s has your lunch and dinner taken care of. #papajohns #betteringredientsbetterpizza https://t.co/VRTaIo1pWO,0
Just ate at @PieFivePizza for the first time today... @dominos @pizzahut @PapaJohns you guys are in trouble.,1
"So my fiancé got tired of me complaining and told me to write a letter so this is my “letter”.....

@PapaJohns y’all ever going to bring back that cheeseburger pizza!? That was BOMB",-1
@RaymondArroyo @PapaJohns Maybe Garlic Butter smelling?,0
"I’m going to crush some of these this weekend! Who else is with me?

#PapaJohns #Cincinnati #Papadias https://t.co/76xRUWEveZ",0
"Send your love stories to pizzalove@wcommunications.co.uk for a chance to win 18k gold pizza-inspired cufflinks &amp; an engagement service of dreams.
 
The cheesier the better!! 😏😍Competition closes 25.02.2020!!!

Terms and conditions here: https://t.co/K1k4xAGMgz  
#leapyear https://t.co/91WbEN1GAL",1
"@Rick5591Vasquez @RaymondArroyo @PapaJohns Gosh darn you to heck, Rick! You beat me to it. :-)",0
Earn #giftcards for things you already do online! Go to https://t.co/J8iEFmUg72 #Amazon #AppleStore #Bestbuy #Converse #eBay #Etsy #Facebook #GameStop #GooglePlay #Groupon #Hulu #Ikea #iTunes #Macys #Netflix #OliveGarden #PapaJohns #Sephora #Spotify #Starbucks #Target,0
Don’t worry about meal prep when Papa John’s has your lunch and dinner taken care of. #papajohns #betteringredientsbetterpizza https://t.co/2Ude6jwA5H,0
"It has truly been an amazing ride. Thanks for helping lead the way, Kevin. 
#PapaProfiles #BlackHistoryMonth https://t.co/5FuFa57I5T",1
@PapaJohns Hard at work #FamilyVacationPortraits,-1
Just had #papajohns for the first time in probably around 10+ years. That shit still kinda fire. #papabless,1
"@MackeyLeah @PapaJohns Loved the presentation today! You provided a lot of interesting and valuable insights, thank you!",1
@bee_lemony It's never too early 😜,1
@PapaJohnsUK I don't understand why PapaJohns removed the god tier choice of pizza from one of the best selling deals you had.,1
"@MindyonLiteRock Looks like a party! Congrats, Mrs. Davis!",0
"Pides en @PapaJohns_ES una pizza (media carnívora y media hawaiana con doble de todo) y te traen esta 💩 Hablas con la ""responsable"" de Avenida de Albufera (se oye de fondo por el teléfono ""comete tú el marrón de la doble de todo"") y responde: ""agua y ajo"". Un cliente satisfecho https://t.co/VzeVgUsWf0",0
@Papajohns_mod https://t.co/he5apVkCby,1
@Papajohns_mod 기다릴고애요 https://t.co/gvuPg1frNx,1
At that point in my life where I get more texts from @PapaJohns and @dominos than real people,1
@MackeyLeah @PapaJohns 🗣🗣🗣,0
@Papajohns_mod 꼭이에여😍😍,1
@RaymondArroyo @PapaJohns Sure beats that crap gwyneth paltrow puts out.,-1
@pizzahutuk what's the deal with your non-existent customer service? 11days and still no response on your 'Pizza Hut Customer Contact Dashboard' regarding an order from two weeks ago. No wonder @PapaJohns is the fav.,0
I've just backed Manchester City to score two goals and get me 50% off pizzas at Papa John's! @PapaJohnsUK https://t.co/FCvHYGZyYb #STHP  @ivan_vizor can you believe it!!,0
@Just_smith693 @PapaJohns It’s a look fr tho. Enjoy!,1
@bourboncityboy @PapaJohns 🗣 say it loud for the people in the back! 🍍🍕 #Freberg20,1
@NxHart13 @PapaJohns You are a worthy social media earthling 🍕👽 #Freberg20,1
@Just_smith693 We know everyone's gonna be jealous of that garlic sauce hat!,0
@kfreberg @PapaJohns And Dr. Freberg is the social media professor 👑 👑👑 #Freberg20,1
@PapaJohns 💯😌,0
@PapaJohns Can’t wait!,0
@sarahgrape96 Lucky!,1
@kfreberg @PapaJohns @uofl @jackharlow #Freberg20 knows WHATS POPPIN,0
"Thank you @MackeyLeah for the @PapaJohns swag. Lowkey, that garlic sauce is my favorite sauce for dipping pizza crust. Nothing better. Ima rock this hat every time I eat Papa John's pizza from now on. https://t.co/YzCsAZRbNw",1
"@bourboncityboy Ooh, that's nice!",1
@RaymondArroyo @PapaJohns Wow this sounds horrible,-1
"Para celebrar que por fin es viernes, ven a comer TODAS las porciones de pizza que quieras desde $5.99 por persona. 🙌🥳🍕

Disponible sólo en restaurantes de lunes a viernes de 11:00 A.M. - 3:00 P.M.

*Restricciones aplican: https://t.co/2GZJV0GJqf https://t.co/GhDgtSM47u",0
@PapaJohns lemme get a free pizza,1
@_WenHerrera_ ¡Atenderlas lo más pronto posible! 😍🍕 Te recomendamos una pizza de especialidad The Works o Chicken BBQ. 🤤 Ordena al 2273-3333 ☎️ o en https://t.co/zENlRHtZNH 💻,-1
"@Mosser13 @allisonlemons @jenna_rose35 @ChickfilA @PapaJohns @Fazolis 🤫🤫🤫. @ChickfilA was only 6 days a week for lunch 😬😂. And @Wendys &amp; @PapaJohns were only for Sunday’s. And @BWWings was Thursday’s, and @Fazolis was Friday’s. Hot dogs, PB sandwiches, and c-store were all other meals 😂. Man I miss that college diet. 😂",1
Which pizza should I eat tonight @dominos @PapaJohns @papamurphys @pizzahut @godfatherspizza @littlecaesars when I listen to old @LionelRichie cassettes.,1
Thank you @MackeyLeah and @PapaJohns for all this swag 😏. If you know me you know I live and die by this statement 😂💯#PineapplesAre4Pizza #Freberg20 https://t.co/XVmJYLEoIO,1
But atleast I’m getting @PapaJohns for lunch 😂,0
"@GamebredFighter @PapaJohns @dominos The fuck is wrong with you at PAPA John's. Masvidal here is a straight up crowd favorite, you ain't doing no good publicity by not paying the guy what he rightly deserves. 
Putting this on my FB page too where over a 100k people follow. 
Come out with an answer.",-1
Goin to be a large pepperoni/pineapple pizza with a thing of garlic bread (The GB is a hard Maybe tho 😆💪🏼) 🍕🥖🤤 https://t.co/lr2LNk30kj,-1
@RaymondArroyo @PapaJohns @BurgerKing I'm holding out for Burger King candles!,0
"@RaymondArroyo @PapaJohns Please let no one use these for Mass. It is not a ""happy meal"".",-1
"@RaymondArroyo @PapaJohns As fast as they deliver,they may already be at your door.",1
@dino246gts @codename_karla @bentaub91 @JonathanBlitzer Send him some PapaJohns shit pizza 👍🏽,-1
@RaymondArroyo @PapaJohns Pizza ? Um. No.,0
@NxHart13 That's some premium Papa John's swag that you have there!,0
"Thank you @MackeyLeah for the beautiful @PapaJohns swag! I’ve named the alien hector, he shall see many pizza eaten. https://t.co/Ee5CLjDQWy",1
I'm holding out for the @PapaJohns' candles. https://t.co/tRFkhoODEy,0
"@emmasthing is getting some huge S/Os from @MackeyLeah and @PapaJohns during our class on influencer marketing.

Definitely a must follow! #Freberg20",1
"@CalebFouty217 @allisonlemons @jenna_rose35 Don’t you mean. @ChickfilA , Hotdogs, Wendy’s, c-Store, @PapaJohns and @Fazolis 😂",-1
"This is incredible progress from @PapaJohns. The business case is clear: LGBTQ equality is necessary for business.

https://t.co/PNiKQzyNq7",1
"Learning all aspects of influencer marketing from @MackeyLeah of @PapaJohns.

We of course learned all about @SHAQ for class and what he is doing w/ the brand - which is cool! https://t.co/K0UJ07l2DO",1
"@MackeyLeah brought @PapaJohns swag to #Freberg20!

I totally have to step up my GAME!!!

Leah is the 👑 of the social media game! https://t.co/poJCxBpf9f",-1
@Papajohns_mod ㅠㅠㅠㅠ 엉엉 넘 아쉬워요 ㅠㅠㅜㅠㅜ https://t.co/N2tlHlTYto,1
"Having a rockstar like @MackeyLeah of @PapaJohns speak to our social media class @UofL is so awesome!

Leah is amazing!! One of my fav people in the industry.

Also, she played her 🎶 walkout song for the class (@jackharlow 🙌🏻) #Freberg20 https://t.co/evlKfsJeLw",1
@mctwist26 @EmeraldRobinson @SenMikeLee @PapaJohns He is talking about people who is already working in USA. He is not asking more green card. Do you understand that? From which country you or your family immigrated to USA. Be respectful please.,1
@PapaJohns Surely!!,1
"@EmeraldRobinson @SenMikeLee @SenMikeLee great question here! Explain to us WHY you want foreigners filling these jobs!im so dang sick of not understanding the other end of the phone, even when ordering a damn pizza! @PapaJohns 
NO to this jobs give away!",-1
@OGPizzaKing @littlecaesars @PapaJohns Best pizza out there!  Yummmmm.,1
@Papajohns_mod 엉엉ㅇ 이게 무슨 일이조 증말 ㅠㅠㅠㅠㅠㅠㅠ 😭😭😭😭😭😭,1
"@JohnnySciFi @DizzyBea23 @AlitaMovie @PapaJohns @dominos @littlecaesars @pizzahut Newest ally or enemy:
https://t.co/h9plwl74yF",0
How they dance when the think we forgot what they boss said https://t.co/X51MReeqkk,0
@Papajohns_mod 엉엉 조아여 ㅠ 완전여 ㅠ,1
@drippymigz @pizzahut @dominos @PapaJohns @godfatherspizza @littlecaesars Dominós fam,0
@Papajohns_mod 엉엉... 넘 아쉬워여...,1
"#PapaJohns #BirdsOfPrey 

For me..... XXL Spicy chicken burger or custom Bbq meat feast 😍 https://t.co/Rw06tT5aQl",-1
#PapaJohns #Pizza 🍕 https://t.co/G9xWNkcXp4,0
"Which Pizza chain has the best breadsticks? 

#PizzaHut #LittleCaesars #Marcos #PapaJohns #Breadsticks #Pizza #Food #PollsForFun #PickNClick",1
"@Aerocles A candle will only last you a few hours, but garlic sauce swag lasts forever!  Dm us?",-1
"@wesselNOS @PapaJohns @NOS @wesselNOS 700 formules 320000 franchisevestigingen. Kijk, het bericht van Papa John lijkt echt stuitend maar toch mogen er ook nuances geplaatst worden. Lees de eerste 3 bladzijdes toelichting bij de nieuwe wet en je vraagt je af of er wel een objectief beeld is over franchise.",-1
@GamebredFighter @PapaJohns @dominos @papajohns u messing up. @dominos is a staple,0
@tennisonok @DrakeGatsby @wiIIyoubemygf @PapaJohns @PapaJohns,0
@DodaDontae @GamebredFighter @PapaJohns @dominos hell wrong wit u ?,-1
"María Méndez y Henar Díaz de @PapaJohns_ES  cierran la Semana del Marketing con su ponencia ""Una pizza mejor es posible"" #SMKT20 https://t.co/FBv0MFNVOF",0
Estamos con los jovenes en la @urjc #smkt20 y las #marcas. Es viernes y asi toca. Ahora con Maria Mendez y Henar Diaz de @PapaJohns_ES 👍 https://t.co/W2v4EruBff,0
The only legit excuse for eating @PapaJohns is revealed on today’s show. Listen here: https://t.co/vHmFH2xp5Z https://t.co/yJXmhpHEbU,-1
"@papajohnschile JOSE LUIS CABRERA.@josecabrerae
https://t.co/kV7vWzpNlC. Responde PapaJohns A Solicitud Menciona Incoherente A Manipulación De Alimentos Sin Adecuada HigieneDeSalud.EncargadaÁreaDiceTenemos OtroProtocolo OseaServicioDSalud QueRigeNuloDominio AFranquicia Millonaria",0
@TheRealShreddZ What's the meal plan for Sunday?,0
@flama_purklin We kinda love that about you.,1
"@HarbisonNatonya We're proud of you, Natonya!",1
"@Obvusdubz97 Oh, the Papadias for real smack! Have you tried one?",1
@JennBall95 We're not even sorry!,-1
